1431785087.220000, /muse/elements/gamma_session_score, 0.7866667, 0.0, 0.5, 0.4032258
1431785087.220000, /muse/elements/theta_session_score, 0.2857143, 0.023809524, 0.19266056, 0.44444445
1431785087.220000, /muse/eeg/quantization, 1, 1, 1, 1
1431785087.220000, /muse/eeg, 853.7448, 830.7151, 848.8099, 857.0347
1431785087.220000, /muse/eeg, 858.67975, 834.005, 852.0998, 866.90466
1431785087.220000, /muse/eeg, 857.0347, 830.7151, 852.0998, 858.67975
1431785087.220000, /muse/eeg, 889.9344, 834.005, 852.0998, 881.7095
1431785087.220000, /muse/eeg, 906.38416, 835.65, 847.16486, 858.67975
1431785087.220000, /muse/eeg, 889.9344, 830.7151, 848.8099, 860.3247
1431785087.221000, /muse/eeg, 870.1946, 832.36005, 850.45483, 871.8396
1431785087.221000, /muse/eeg, 880.06445, 832.36005, 860.3247, 873.48456
1431785087.221000, /muse/eeg, 857.0347, 830.7151, 863.6147, 888.28937
1431785087.221000, /muse/eeg, 861.9697, 832.36005, 866.90466, 857.0347
1431785087.221000, /muse/eeg, 855.3898, 834.005, 855.3898, 840.58496
1431785087.221000, /muse/eeg, 847.16486, 832.36005, 850.45483, 830.7151
1431785087.221000, /muse/eeg, 861.9697, 832.36005, 855.3898, 845.5199
1431785087.221000, /muse/eeg, 832.36005, 834.005, 857.0347, 868.5496
1431785087.221000, /muse/eeg, 893.2243, 835.65, 857.0347, 861.9697
1431785087.221000, /muse/drlref, 1648387.1, 1654838.8
1431785087.221000, /muse/acc, -31.25005, 1000.0016, 132.81271
1431785087.257000, /muse/config, '{"drlref_conversion_factor": 3225.806396484375, "acc_sample_frequency_hz": 50, "battery_percent_remaining": 84, "eeg_downsample": 16, "notch_frequency_hz": 50, "eeg_locations": [45, 2, 4, 55], "eeg_units": 2, "eeg_output_frequency_hz": 220, "eeg_conversion_factor": 1.6449803113937378, "eeg_channel_layout": "TP9 FP1 FP2 TP10 ", "acc_data_enabled": true, "eeg_sample_frequency_hz": 3520, "mac_addr": "0006666C1E7D", "preset": "14", "drlref_sample_frequency_hz": 10, "serial_number": "1150-QMN8-1E7D", "filters_enabled": true, "battery_millivolts": 3984, "acc_units": 2, "battery_data_enabled": true, "afe_gain": 1961.0, "compression_enabled": true, "eeg_channel_count": 4, "error_data_enabled": true, "acc_conversion_factor": 3.9062561988830566, "eeg_samples_bitwidth": 10, "drlref_data_enabled": true}'
1431785087.262000, /muse/version, '{"build_number": "45", "firmware_type": "Research", "hardware_version": "15.0.0", "firmware_headset_version": "", "protocol_version": "2", "firmware_bootloader_version": "7.6.0"}'
1431785087.265000, /muse/acc, -35.1563034058, 1000.00158691, 132.812713623
1431785087.265000, /muse/acc, -35.1563034058, 1000.00158691, 132.812713623
1431785087.268000, /muse/eeg, 884.999450684, 834.005004883, 861.969726562, 865.259643555
1431785087.271000, /muse/eeg/quantization, 1, 1, 1, 1
1431785087.271000, /muse/eeg, 884.999450684, 834.005004883, 858.679748535, 883.354431152
1431785087.271000, /muse/eeg, 876.774536133, 830.715087891, 860.324707031, 865.259643555
1431785087.271000, /muse/eeg, 860.324707031, 830.715087891, 855.389770508, 857.034729004
1431785087.271000, /muse/eeg, 858.679748535, 827.425109863, 863.614685059, 858.679748535
1431785087.271000, /muse/eeg, 863.614685059, 827.425109863, 865.259643555, 830.715087891
1431785087.271000, /muse/eeg, 850.454833984, 829.070068359, 855.389770508, 875.129516602
1431785087.271000, /muse/elements/alpha_relative, 0.08139683, 0.19245741, 0.2503513, 0.05286886
1431785087.271000, /muse/elements/beta_relative, 0.40828687, 0.11513227, 0.18718849, 0.41732058
1431785087.271000, /muse/elements/delta_relative, 0.11128334, 0.44463903, 0.21357265, 0.16168068
1431785087.271000, /muse/elements/gamma_relative, 0.26735774, 0.035218846, 0.11555603, 0.22713964
1431785087.271000, /muse/elements/theta_relative, 0.1316752, 0.21255244, 0.2333315, 0.14099023
