1431780525.091000, /muse/eeg, 840.58496, 812.6203, 863.6147, 835.65
1431780525.091000, /muse/eeg, 832.36005, 819.2002, 863.6147, 840.58496
1431780525.093000, /muse/eeg, 827.4251, 815.9103, 861.9697, 819.2002
1431780525.093000, /muse/eeg, 842.2299, 817.55524, 858.67975, 827.4251
1431780525.093000, /muse/eeg, 842.2299, 819.2002, 857.0347, 830.7151
1431780525.093000, /muse/eeg, 855.3898, 819.2002, 858.67975, 817.55524
1431780525.093000, /muse/acc, -250.0004, 953.12646, 218.75034
1431780525.097000, /muse/acc, -250.0004, 960.939, 218.75034
1431780525.102000, /muse/acc, -253.90665, 964.8453, 222.6566
1431780525.135000, /muse/acc, -257.8129, 960.939, 222.6566
1431780525.157000, /muse/eeg, 832.36005, 815.9103, 858.67975, 815.9103
1431780525.157000, /muse/eeg/quantization, 1, 1, 1, 1
1431780525.157000, /muse/eeg, 850.45483, 815.9103, 860.3247, 804.3954
1431780525.157000, /muse/eeg, 863.6147, 815.9103, 861.9697, 837.295
1431780525.157000, /muse/eeg, 840.58496, 815.9103, 861.9697, 829.07007
1431780525.157000, /muse/eeg, 847.16486, 815.9103, 853.7448, 815.9103
1431780525.157000, /muse/eeg, 853.7448, 817.55524, 855.3898, 819.2002
1431780525.157000, /muse/eeg, 843.87494, 820.8452, 852.0998, 815.9103
1431780525.157000, /muse/eeg, 842.2299, 820.8452, 852.0998, 824.13513
1431780525.158000, /muse/eeg, 838.94, 822.4902, 855.3898, 822.4902
1431780525.158000, /muse/eeg, 842.2299, 825.78015, 857.0347, 834.005
1431780525.158000, /muse/eeg, 853.7448, 822.4902, 863.6147, 834.005
1431780525.158000, /muse/elements/alpha_relative, 0.117444016, 0.100559585, 0.068751, 0.2538634
1431780525.158000, /muse/elements/beta_relative, 0.17769271, 0.04827118, 0.06679892, 0.24590164
1431780525.158000, /muse/elements/delta_relative, 0.32713938, 0.5802326, 0.5990465, 0.15675862
1431780525.158000, /muse/elements/gamma_relative, 0.13214475, 0.027764501, 0.023077708, 0.22754024
1431780525.158000, /muse/elements/theta_relative, 0.24557917, 0.2431721, 0.24232587, 0.11593609
1431780525.158000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431780525.158000, /muse/elements/is_good, 1, 1, 1, 1
1431780525.158000, /muse/elements/blink, 0
1431780525.158000, /muse/elements/jaw_clench, 0
1431780525.158000, /muse/elements/touching_forehead, 1
1431780525.158000, /muse/elements/experimental/concentration, 0.0
1431780525.158000, /muse/elements/experimental/mellow, 0.0917036
